severity,status,code,scope,finding,evidence,recommendation
HIGH,open,BOSS_WALL_PRISM_SANCTUARY,虹晶聖域,到達後突破率89.1%、初回成功率0%、平均42.99回で、監査上限内の進行停止を伴う壁になっている。,到達220周のうち24周が未突破。ボス開始Lv中央値35、ボスLv42。,boss.boostのHP/ATKを5-10%刻みで下げる案と、直前地域EXPを10-15%増やす案を同一seedで比較する。
HIGH,open,BOSS_WALL_SKY_RUINS,天空遺跡,到達後突破率65.3%、初回成功率2.4%、平均39.6回で、監査上限内の進行停止を伴う壁になっている。,到達167周のうち58周が未突破。ボス開始Lv中央値94、ボスLv86。,boss.boostのHP/ATKを5-10%刻みで下げる案と、直前地域EXPを10-15%増やす案を同一seedで比較する。
HIGH,open,BOSS_WALL_TOWER,星晶の塔,到達後突破率87%、初回成功率0%、平均29.64回で、監査上限内の進行停止を伴う壁になっている。,到達300周のうち39周が未突破。ボス開始Lv中央値18、ボスLv20。,boss.boostのHP/ATKを5-10%刻みで下げる案と、直前地域EXPを10-15%増やす案を同一seedで比較する。
MEDIUM,open,BOSS_RETRY_LOAD_DEEP_SEA_TEMPLE,深海神殿,到達後突破率は98.5%だが、平均38.77回を要し、進行停止壁ではなく再挑戦負荷として大きい。,到達196周、初回成功率0%、ボス平均51.55ターン。,高い最終突破率を保ったまま再挑戦回数を減らせるよう、敗北後育成導線・直前EXP・ボス耐久を1変数ずつ比較する。
MEDIUM,open,BOSS_RETRY_LOAD_SNOWFIELD,霜降り雪原,到達後突破率は95.4%だが、平均19.49回を要し、進行停止壁ではなく再挑戦負荷として大きい。,到達261周、初回成功率2.7%、ボス平均12.27ターン。,高い最終突破率を保ったまま再挑戦回数を減らせるよう、敗北後育成導線・直前EXP・ボス耐久を1変数ずつ比較する。
MEDIUM,open,BOSS_RETRY_LOAD_MACHINE_CITY,古代機械都市,到達後突破率は100%だが、平均17.52回を要し、進行停止壁ではなく再挑戦負荷として大きい。,到達196周、初回成功率2%、ボス平均12.12ターン。,高い最終突破率を保ったまま再挑戦回数を減らせるよう、敗北後育成導線・直前EXP・ボス耐久を1変数ずつ比較する。
MEDIUM,open,GRIND_SPIKE_PRISM_SANCTUARY,虹晶聖域,ボス解放に必要な6勝に加えて、平均92.55勝の追加育成が発生した。,通常戦平均110.74回、ボス開始Lv中央値35。,直前/当該地域のEXP、boss Lv/boost、修練40EXP/60Gを別々の反実仮想として比較する。
MEDIUM,open,GRIND_SPIKE_DEEP_SEA_TEMPLE,深海神殿,ボス解放に必要な6勝に加えて、平均91.78勝の追加育成が発生した。,通常戦平均101.62回、ボス開始Lv中央値64。,直前/当該地域のEXP、boss Lv/boost、修練40EXP/60Gを別々の反実仮想として比較する。
MEDIUM,open,GRIND_SPIKE_SKY_RUINS,天空遺跡,ボス解放に必要な7勝に加えて、平均90.98勝の追加育成が発生した。,通常戦平均100.28回、ボス開始Lv中央値94。,直前/当該地域のEXP、boss Lv/boost、修練40EXP/60Gを別々の反実仮想として比較する。
HIGH,open,PLAYSTYLE_COMPLETION_GAP,プレイスタイル差,監査上限内完走率が収集・配合と速攻で63pt開いた。,収集・配合 63% / 速攻 0%。,停止理由を方針別に分解し、特に速攻側で不足する対抗手段・育成導線を調整してから、同一seed集合で再比較する。
INFO,resolved,FUSION_EQUIP_INHERIT,配合/成長,装備・性格・突然変異・既存ボーナスを除いた中立能力から配合継承を計算するよう修正した。,8.6-A.57 → 8.6-A.58 の優先修正。装備返却は取得記録を増やさない経路へ分離。tools/priority-fixes-test.mjs 5/5 passed（testVersion 1.0.0、本体sourceHash一致）。,配合世代を重ねる長期試験で、意図した基礎能力由来の増加だけが残ることを継続監視する。
INFO,resolved,SCOUT_CHARM_OVERWRITE,任務/スカウト笛,任務のスカウト笛報酬を在庫上書きから加算へ修正した。,8.6-A.57 → 8.6-A.58 の優先修正。tools/priority-fixes-test.mjs 5/5 passed（testVersion 1.0.0、本体sourceHash一致）。,別件の戦闘開始時消費は SCOUT_CHARM_EARLY_CONSUMPTION として追跡する。
INFO,resolved,ITEM_RECORD_INFLATION,任務/装備,装備交換・解除・配合返却でアイテム取得記録を増やさないよう返却APIを分離した。,8.6-A.57 → 8.6-A.58 の優先修正。tools/priority-fixes-test.mjs 5/5 passed（testVersion 1.0.0、本体sourceHash一致）。,外部獲得だけが records.items を増やす回帰試験を維持する。
INFO,resolved,AUTO_GUARD_LOOP,オート戦闘,オート戦闘では防御を2手連続で選ばない制限を追加した。手動防御は変更していない。,8.6-A.57 → 8.6-A.58 の優先修正。tools/priority-fixes-test.mjs 5/5 passed（testVersion 1.0.0、本体sourceHash一致）。同一seed監査ではguard-loopと全停止戦を別々に比較する。,guard_loop_campaign_rate、stalled_campaigns、50/100ターン超を継続監視し、別原因の長期戦と混同しない。
